meters,price,bathrooms,category,link,municipality,operation,owner,rooms
52 m²,€ 29.000,1 baño,Piso,https://www.indomio.es/anuncios/95842851/,A Coruña,Venta,Inmobiliaria Callao,2
166 m²,€ 160.000,1 baño,Casa unifamiliar,https://www.indomio.es/anuncios/95943173/,A Coruña,Venta,Expertia  Inmobiliaria,4
98 m²,€ 52.000,2 baños,Casa adosada,https://www.indomio.es/anuncios/95817951/,A Coruña,Venta,Proyectos Integrales Norte SL,5
82 m²,€ 260.000,2 baños,Piso,https://www.indomio.es/anuncios/95999517/,A Coruña,Venta,Re/max Riazor,5
90 m²,€ 179.000,2 baños,Piso,https://www.indomio.es/anuncios/94718571/,A Coruña,Venta,,5
160 m²,€ 620.000,2 baños,Piso,https://www.indomio.es/anuncios/95605023/,A Coruña,Venta,Fogar servicios inmobiliarios,5
114 m²,€ 295.000,2 baños,Piso,https://www.indomio.es/anuncios/95873339/,A Coruña,Venta,Fincas 4 C,6
95 m²,€ 280.000,,Chalet,https://www.indomio.es/anuncios/95605105/,A Coruña,Venta,Fogar servicios inmobiliarios,4
280 m²,€ 850.000,3+ baños,Piso,https://www.indomio.es/anuncios/95605145/,A Coruña,Venta,Fogar servicios inmobiliarios,7
84 m²,€ 135.000,,Piso,https://www.indomio.es/anuncios/95644571/,A Coruña,Venta,Centro Inmobiliaria A Coruña,2
110 m²,€ 275.000,2 baños,Piso,https://www.indomio.es/anuncios/87260095/,A Coruña,Venta,INMOTK,6
,€ 420.000,,Casa rústica,https://www.indomio.es/anuncios/95501585/,A Coruña,Venta,Expertia  Inmobiliaria,
203 m²,€ 595.000,3+ baños,Piso ,https://www.indomio.es/anuncios/94164879/,A Coruña,Venta,INMOBILIARIA CENTRO,5
390 m²,€ 650.000,3+ baños,Chalet,https://www.indomio.es/anuncios/94665573/,A Coruña,Venta,Proyectos Integrales Norte SL,7
105 m²,€ 118.000,2 baños,Piso,https://www.indomio.es/anuncios/94971973/,A Coruña,Venta,Inmobiliaria Los Puentes,6
66 m²,€ 205.000,2 baños,Piso,https://www.indomio.es/anuncios/95605127/,A Coruña,Venta,Fogar servicios inmobiliarios,4
85 m²,€ 349.990,2 baños,Piso,https://www.indomio.es/anuncios/95605657/,A Coruña,Venta,Nove Representación Inmobiliaria,4
94 m²,€ 243.000,2 baños,Piso,https://www.indomio.es/anuncios/95389545/,A Coruña,Venta,Versalles Servicios Inmobiliarios,5
129 m²,€ 490.000,3 baños,Piso,https://www.indomio.es/anuncios/94504959/,A Coruña,Venta,LOSADA&CO,6
110 m²,€ 199.000,2 baños,Piso,https://www.indomio.es/anuncios/95187973/,A Coruña,Venta,Housell,5
90 m²,€ 305.000,2 baños,Piso,https://www.indomio.es/anuncios/95476745/,A Coruña,Venta,,5
73 m²,€ 165.000,2 baños,Piso,https://www.indomio.es/anuncios/95916383/,A Coruña,Venta,Oppidum Real Estate Services,5
80 m²,€ 145.000,,Piso,https://www.indomio.es/anuncios/95576385/,A Coruña,Venta,Medusa Properties,1
95 m²,€ 240.000,2 baños,Piso,https://www.indomio.es/anuncios/95741571/,A Coruña,Venta,PISO 123.COM,4
70 m²,€ 265.000,2 baños,Piso,https://www.indomio.es/anuncios/95778333/,A Coruña,Venta,Urbeko Inmobiliaria,4
144 m²,€ 410.000,2 baños,Piso,https://www.indomio.es/anuncios/95838873/,A Coruña,Venta,Inmoforum,7
92 m²,€ 180.000,2 baños,Piso,https://www.indomio.es/anuncios/95858453/,A Coruña,Venta,Asinmo Asesoria - Inmobiliaria,4
44 m²,€ 146.000,1 baño,Piso,https://www.indomio.es/anuncios/95945411/,A Coruña,Venta,Otero Ramos,2
75 m²,€ 129.000,1 baño,Piso,https://www.indomio.es/anuncios/96000241/,A Coruña,Venta,,2
210 m²,€ 770.000,3 baños,Casa unifamiliar ,https://www.indomio.es/anuncios/93256935/,A Coruña,Venta,INMOBILIARIA CENTRO,6
177 m²,€ 270.000,2 baños,Piso,https://www.indomio.es/anuncios/94285943/,A Coruña,Venta,,3
95 m²,€ 310.000,2 baños,Piso,https://www.indomio.es/anuncios/94759447/,A Coruña,Venta,Urbeko Inmobiliaria,5
60 m²,€ 134.550,1 baño,Piso,https://www.indomio.es/anuncios/95445515/,A Coruña,Venta,Aliseda Inmobiliaria,3
61 m²,€ 135.000,1 baño,Piso,https://www.indomio.es/anuncios/95467643/,A Coruña,Venta,,4
129 m²,€ 300.000,2 baños,Piso,https://www.indomio.es/anuncios/92887549/,A Coruña,Venta,Inmoforum,6
91 m²,€ 280.000,2 baños,Piso,https://www.indomio.es/anuncios/95039219/,A Coruña,Venta,Inmoforum,5
87 m²,€ 180.000,2 baños,Piso,https://www.indomio.es/anuncios/95819163/,A Coruña,Venta,Centro Inmobiliaria A Coruña,5
