titulo,meters,price,bathrooms,category,link,municipality,operation,owner,rooms
"Piso de dos habitaciones Calle VEINTIDOS, Bonavista, Tarragona",68 m²,€ 73.000,1 baño,Piso,https://www.indomio.es/anuncios/95824893/,Tarragona,Venta,El Piset Immobiliaria,3
"Piso de tres habitaciones Calle Sant Miquel, Nou Eixample, Tarragona",72 m²,€ 105.000,1 baño,Piso,https://www.indomio.es/anuncios/94979905/,Tarragona,Venta,El Piset Immobiliaria,4
"Piso Calle Riu Tordera, Torreforta-La Granja-Campclar, Tarragona",108 m²,€ 105.000,desc,Piso,https://www.indomio.es/anuncios/94568877/,Tarragona,Venta,Aliseda Inmobiliaria,0
"Piso de cuatro habitaciones buen estado, Urbanitzacions de Llevant, Tarragona",141 m²,€ 445.000,2 baños,Piso,https://www.indomio.es/anuncios/95947241/,Tarragona,Venta,CENTURY 21 Inmovip,6
"Piso de tres habitaciones 66 m², Bonavista, Tarragona",66 m²,€ 78.300,1 baño,Piso,https://www.indomio.es/anuncios/95812955/,Tarragona,Venta,Velstand Servicios inmobiliarios,4
"Chalet Carrer de L.Van Beethoven, Urbanitzacions de Llevant, Tarragona",265 m²,€ 640.000,3 baños,Chalet,https://www.indomio.es/anuncios/95409129/,Tarragona,Venta,Arrabassada immobiliaria,6
"Casa unifamiliar Oscar Espla, Urbanitzacions de Llevant, Tarragona",450 m² ,€ 724.975,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/94788525/,Tarragona,Venta,Madash Group,7
Edificio en Venta,1.027 m²,€ 1.200.000,desc,Edificio,https://www.indomio.es/anuncios/95963289/,Tarragona,Venta,GARRIDO IMMOBILIÀRIA,0
"Piso de cuatro habitaciones Mallorca, Nou Eixample, Tarragona",92 m²,€ 198.000,2 baños,Piso,https://www.indomio.es/anuncios/95862475/,Tarragona,Venta,Eivissatgn Assessoria Immobiliaria,6
"Piso de dos habitaciones Calle Vint-I-Set, Bonavista, Tarragona",64 m²,€ 84.000,desc,Piso,https://www.indomio.es/anuncios/95576055/,Tarragona,Venta,Lacave inmoservis,2
"Piso de una habitación buen estado, planta baja, Part Alta, Tarragona",100 m²,€ 220.000,1 baño,Piso,https://www.indomio.es/anuncios/94512771/,Tarragona,Venta,Grup RA - Advocada Real Estate,2
"Piso de dos habitaciones Avenida Dels Països Catalans, Sant Pere i Sant Pau, Tarragona",99 m²,€ 210.000,2 baños,Piso,https://www.indomio.es/anuncios/95733947/,Tarragona,Venta,Immo BC,4
"Piso de tres habitaciones cuarta planta, Eixample, Tarragona",142 m² ,€ 280.000,2 baños,Piso,https://www.indomio.es/anuncios/95134159/,Tarragona,Venta,Unic Propietats,5
"Piso de tres habitaciones Calle Violant d´Hongria, Sant Pere i Sant Pau, Tarragona",102 m²,€ 165.000,2 baños,Piso,https://www.indomio.es/anuncios/95527849/,Tarragona,Venta,El Piset Immobiliaria,5
"Piso de tres habitaciones Calle Reding, Eixample, Tarragona",103 m²,€ 127.000,1 baño,Piso,https://www.indomio.es/anuncios/94602957/,Tarragona,Venta,Aliseda Inmobiliaria,4
