meters,price,bathrooms,category,link,municipality,operation,owner,rooms
110 m²,€ 188.000,2 baños,Piso,https://www.indomio.es/anuncios/91074331/,Albacete,Venta,Consuelo Valera Inmobiliaria & Reformas,4
90 m²,€ 155.000,1 baño,Piso,https://www.indomio.es/anuncios/83931661/,Albacete,Venta,Meraki,4
3.000 m²,€ 2.800.000,,Casa rústica,https://www.indomio.es/anuncios/88032393/,Albacete,Venta,IBERO HOMES,
115 m²,€ 220.000,2 baños,Piso,https://www.indomio.es/anuncios/92856365/,Albacete,Venta,Soluziones Inmobiliarias,5
171 m²,€ 250.000,2 baños,Piso,https://www.indomio.es/anuncios/92967507/,Albacete,Venta,Api vicente orozco,6
100 m²,€ 130.000,1 baño,Piso,https://www.indomio.es/anuncios/93214861/,Albacete,Venta,Alquilofacil - Albacete,4
92 m²,€ 195.000,2 baños,Piso,https://www.indomio.es/anuncios/93697301/,Albacete,Venta,Fincasa Inmobiliaria,6
100 m²,€ 210.000,2 baños,Piso,https://www.indomio.es/anuncios/94194433/,Albacete,Venta,InmoHouse,5
100 m²,€ 223.000,2 baños,Piso,https://www.indomio.es/anuncios/94304959/,Albacete,Venta,InmoHouse,6
200 m²,€ 290.000,3 baños,Piso,https://www.indomio.es/anuncios/94556327/,Albacete,Venta,Germán - gestión de inmuebles,9
95 m²,€ 193.000,2 baños,Piso,https://www.indomio.es/anuncios/94654583/,Albacete,Venta,Inmobiliaria Tejares,5
114 m²,€ 125.000,2 baños,Piso,https://www.indomio.es/anuncios/95063691/,Albacete,Venta,Fincasa Inmobiliaria,6
645 m²,€ 495.000,2 baños,Chalet,https://www.indomio.es/anuncios/95074541/,Albacete,Venta,Api vicente orozco,6
92 m²,€ 170.000,2 baños,Piso,https://www.indomio.es/anuncios/95205857/,Albacete,Venta,InmoHouse,5
114 m²,€ 200.000,2 baños,Piso,https://www.indomio.es/anuncios/95466825/,Albacete,Venta,Fincasa Inmobiliaria,5
100 m²,€ 215.000,2 baños,Piso,https://www.indomio.es/anuncios/95629343/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,5
120 m²,€ 110.000,3 baños,Casa rústica,https://www.indomio.es/anuncios/95638863/,Albacete,Venta,Global House Albacete,6
80 m²,€ 220.000,1 baño,Piso,https://www.indomio.es/anuncios/95470093/,Albacete,Venta,Soluziones Inmobiliarias,3
102 m²,€ 256.000,2 baños,Piso,https://www.indomio.es/anuncios/95764059/,Albacete,Venta,Inmobiliaria La Mancha,5
100 m²,€ 270.000,2 baños,Piso,https://www.indomio.es/anuncios/95808697/,Albacete,Venta,InmoHouse,4
471 m²,€ 690.000,3+ baños,Chalet,https://www.indomio.es/anuncios/95871071/,Albacete,Venta,Api vicente orozco,6
